rxn00007_c,2-oxoglutarate,2-aminoadipate,"""=>""",glutamate,2-oxoadipate,,,,,
,cpd00024,cpd00705,,cpd00023,cpd00269,,,,,
,,,,,,,,,,
rxn00125_c,H2O,NAD,glycolaldehyde,"""=>""",NADH,H+,glycolate,,,
,cpd00001,cpd00003,cpd00229,,cpd00004,cpd00067,cpd00139,,,
,,,,,,,,,,
rxn00127_c,arabinose,"""=>""",ribulose,,,,,,,
,cpd00224,,cpd00397,,,,,,,
,,,,,,,,,,
rxn00213_c,H2O,NAD,p-hydroxybenzaldehyde,"""=>""",NADH,H+,4-hydroxybenzoate,,,
,cpd00001,cpd00003,cpd00484,,cpd00004,cpd00067,cpd00136,,,
,,,,,,,,,,
rxn00300_c,alanine,3-oxopropanoate,"""=>""",pyruvate,beta-alanine,,,,,
,cpd00035,cpd00191,,cpd00020,cpd00085,,,,,
,,,,,,,,,,
rxn00313_c0,UTP,glucose-1P,"""<=""",Ppi,UDP-glucose,,,,,
,cpd00062,cpd00089,,cpd00012,cpd00026,,,,,
,,,,,,,,,,
rxn00656_c,ATP,beta-alanine,pantoate,"""=>""",PPi,AMP,2H+,PAN,,
,cpd00002,cpd00085,cpd00408,,cpd00012,cpd00018,cpd00067,cpd00644,,
,,,,,,,,,,
rxn00693_c,H2O,dCDP,trdox,"""<=""",CDP,tdrd,,,,
,cpd00001,cpd00533,cpd11420,,cpd00096,cpd11421,,,,
,,,,,,,,,,
rxn00917_c,ATP,CoA,palmitate,"""=>""",PPi,AMP,palmitoyl-CoA,,,
,cpd00002,cpd00010,cpd00214,,cpd00012,cpd00018,cpd00134,,,
,,,,,,,,,,
rxn00947_c0,H2O,trehalose,"""<=""",2 D-glucose,,,,,,
,cpd00001,cpd00794,,cpd00190,,,,,,
,,,,,,,,,,
rxn00957_c,ATP,trdrd,"""=>""",H2O,dATP,trdox,,,,
,cpd00002,cpd11421,,cpd00001,cpd00115,cpd11420,,,,
,,,,,,,,,,
rxn00979_c,2 NADPH,3 H+,malonyl-CoA,palmitate,"""=>""",H2O,2 NADP,CoA,CO2,ocdca
,cpd00005,cpd00067,cpd00070,cpd00214,,cpd00001,cpd00006,cpd00010,cpd00011,cpd01080
,,,,,,,,,,
rxn01152_c,dihydroneopterin,"""<=""",glycolaldehyde,6-hydroxymethyl dihydropterin,,,,,,
,cpd02961,,cpd00229,cpd00954,,,,,,
,,,,,,,,,,
rxn01256_c,H2O,PEP,erythrose 4P,"""=>""",phosphate,DAHP,,,,
,cpd00001,cpd00061,cpd00236,,cpd00009,cpd02857,,,,
,,,,,,,,,,
rxn01332_c,ATP,nicotinate ribonucleotide,"""=>""",PPi,deamido-NAD,,,,,
,cpd00002,cpd00873,,cpd00012,cpd00638,,,,,
,,,,,,,,,,
rxn01418_c,H2O,NAD,AIR,"""<=""",NADH,2 formate,4 H+,4-amino-5-phosphomethyl-2-methylpyrimidine,,
,cpd00001,cpd00003,cpd02140,,cpd00004,cpd00047,cpd00067,cpd02775,,
,,,,,,,,,,
rxn01423_c,homocysteine,5-methyl THF,"""<=""",methionine,tetrahydrofolate,,,,,
,cpd00135,cpd00345,,cpd00060,cpd00087,,,,,
,,,,,,,,,,
rxn01791_c,H2O,GTP,"""=>""",Ppi,formate,3 H+,"2,5-diamino-6-(5'-phosphoribosylamino)…",,,
,cpd00001,cpd00038,,cpd00012,cpd00047,cpd00067,cpd00957,,,
,,,,,,,,,,
rxn02155_c,NAD,4-hydroxybenzyl alcohol,"""=>""",NADH,H+,4-hydroxybenzaldehyde,,,,
,cpd00003,cpd15378,,cpd00004,cpd00067,cpd00484,,,,
,,,,,,,,,,
rxn02504_c,2-succinyl-5-enolpyruvyl-6-hydroxy…,"""=>""",pyruvate,SHCHC,,,,,,
,cpd16335,,cpd00020,cpd_03451,,,,,,
,,,,,,,,,,
rxn03909_c,NAD,CoA,H+,2-oxoadipate,"""=>""",NADH,CO2,glutaryl-CoA,,
,cpd00003,cpd00010,cpd00067,cpd00269,,cpd00004,cpd00011,cpd00413,,
,,,,,,,,,,
rxn05232_c,H2O,S-adenosylmethionine,"""=>""",H+,5-methylthioadenosine,homoserine,,,,
,cpd00001,cpd00017,,cpd00067,cpd00147,cpd00227,,,,
,,,,,,,,,,
rxn05234_c,sulfate_e0,H+_e0,"""=>""",sulfate_c0,H+_c0,,,,,
,cpd00048_e0,cpd00067_e0,,cpd00048,cpd00067,,,,,
,,,,,,,,,,
rxn05651_c,chorismate,"""=>""",prephenate,,,,,,,
,cpd00216,,cpd00219,,,,,,,
,,,,,,,,,,
rxn05902_c,H2O,"meso-2,6-diaminopimelate","""=>""",CO2,lysine,,,,,
,cpd00001,cpd00516,,cpd00011,cpd00039,,,,,
,,,,,,,,,,
rxn06076_c,S-adenosylmethionine,H+,"""=>""",CO2,S-adenosylmethioninamine,,,,,
,cpd00017,cpd00067,,cpd00011,cpd00837,,,,,
,,,,,,,,,,
rxn08131_c,H2O,ATP,Gln,XMP,"""=>""",Ppi,AMP,Glu,3 H+,GMP
,cpd00001,cpd00002,cpd00053,cpd00497,,cpd00012,cpd00018,cpd00023,cpd00067,cpd00126
,,,,,,,,,,
rxn09429_c,pyruvate,H+,GAP,"""=>""",CO2,1-deoxy-D-xylulose-5P,,,,
,cpd00020,cpd00067,cpd00102,,cpd00011,cpd08289,,,,
,,,,,,,,,,
rxn11703_c,H2O,H2S,3 ox. Ferredoxin,"""=>""",6 H+,sulfite,3 red. ferredoxin,,,
,cpd00001,cpd00239,cpd11621,,cpd00067,cpd00081,cpd11620,,,
,,,,,,,,,,
rxn12239_c,H2O,5-amino-6--5-phosphoribityl…,"""=>""",phosphate,4--1-D-ribitylamino-5-aminouracil,,,,,
,cpd00001,cpd02720,,cpd00009,cpd02882,,,,,
,,,,,,,,,,
rxn_glc_sym,glucose_e0,Na_e0,"""=>""",glucose,Na,,,,,
,cpd00190_e0,cpd00971_e0,,cpd00190_c0,cpd00971_c0,,,,,
